epoch,loss,val_loss,val_x_logits_loss,val_x_logits_mean_absolute_error,val_x_logits_mean_squared_error,val_x_logits_psnr,val_x_logits_sharpdiff,val_x_logits_ssim,val_x_logits_total_variation,val_x_logpdf_loss,val_z_latents_loss,x_logits_loss,x_logits_mean_absolute_error,x_logits_mean_squared_error,x_logits_psnr,x_logits_sharpdiff,x_logits_ssim,x_logits_total_variation,x_logpdf_loss,z_latents_loss
0,1223.549997253418,400.7068638305664,401.06033,0.06275227,0.025136098,16.302767,16.213486,-0.012466755,1349.8293,-1.4795346,1.0592232,1223.7488,0.16129743,0.09125315,10.450026,4.287471,-0.0014374792,47518.68,-1.3888111,1.0997682
1,978.9355022583007,326.84781271362306,326.4434,0.061370842,0.018726233,17.424324,15.656505,-0.010577095,1868.3661,-1.00917,1.3472906,978.6078,0.15991072,0.08084844,10.949472,4.3629546,-0.0046470487,46428.617,-1.0954535,1.3437047
2,937.7165783691406,295.6722638244629,294.50244,0.056770764,0.016553415,17.938063,15.5990925,-0.008318169,1956.2145,-0.78112787,1.8798497,936.65546,0.15896079,0.07798788,11.100612,4.3722854,-0.0034643977,46264.45,-0.8789392,1.8576328
3,925.2330007324218,265.27667082214356,263.85385,0.05097377,0.015157855,18.297245,15.655515,-0.008839062,1957.6188,-0.7182213,2.0604258,923.5827,0.15684168,0.077314705,11.138137,4.3530903,-0.002988615,46485.508,-0.7498027,2.3060176
4,918.2698167724609,252.86368276977538,251.06462,0.0481883,0.014865657,18.367395,15.646628,-0.0059160506,1990.53,-0.6312198,2.3407137,916.2707,0.15537816,0.07700637,11.154812,4.33951,-0.0027109263,46647.96,-0.6821504,2.5748475
5,912.3506033325195,242.5399893951416,240.98047,0.045696776,0.01471865,18.42819,15.748635,-0.0077915685,1908.5222,-0.6903289,2.151125,910.2048,0.15428136,0.076711684,11.171127,4.331037,-0.002478964,46747.996,-0.65711427,2.6830688
6,909.265434020996,232.379135345459,230.82796,0.044172432,0.01403332,18.62754,15.760296,-0.0068245535,1917.4222,-0.6936476,2.1410255,907.1366,0.15367821,0.076557614,11.180095,4.325785,-0.0023850296,46808.027,-0.66230613,2.6601348
7,906.6748483886719,222.95839123535157,221.50471,0.042270552,0.013718638,18.714996,15.761437,-0.0044982405,1932.4149,-0.71767175,2.0571532,904.61523,0.15330072,0.0764471,11.185949,4.3213844,-0.0023110574,46857.914,-0.6767167,2.596655
8,905.7720762939454,227.48847052001952,225.7461,0.0425774,0.014243057,18.559359,15.7605715,-0.0035354465,1927.3184,-0.6502869,2.2761285,903.8163,0.15312378,0.0764055,11.188327,4.320281,-0.0022821052,46869.17,-0.69874513,2.5076632
9,903.7088558349609,218.48142765808106,217.08974,0.04094414,0.013742276,18.732477,15.869001,-0.0071683372,1841.8442,-0.7406216,2.008179,901.84045,0.15286429,0.07630644,11.1940155,4.318424,-0.0022649819,46894.42,-0.718014,2.432226
10,903.0467913208008,213.03555558776856,211.37741,0.039992187,0.013400576,18.831427,15.850574,-0.0053519043,1876.4407,-0.67832315,2.2065203,901.2738,0.15272759,0.0762781,11.195851,4.3187037,-0.002295625,46891.824,-0.73804617,2.351127
11,900.9194860229492,212.54732678222655,211.24307,0.039819065,0.013510664,18.792912,15.854052,-0.004695377,1872.8451,-0.7676544,1.9380786,899.2064,0.15245095,0.076133005,11.203445,4.3152275,-0.0022460606,46933.293,-0.75096714,2.2994626
